"Date","NO2","O3"
43110,18,15
43110.0416666667,11,21
43110.0833333333,8,25
43110.125,8,26
43110.1666666667,12,21
43110.2083333333,16,19
43110.25,16,20
43110.2916666667,21,16
43110.3333333333,15,24
43110.375,6,32
43110.4166666667,6,31
43110.4583333333,7,30
43110.5,5,32
43110.5416666667,5,32
43110.5833333333,6,31
43110.625,9,29
43110.6666666667,10,28
43110.7083333333,10,28
43110.75,11,26
43110.7916666667,14,22
43110.8333333333,16,19
43110.875,18,17
43110.9166666667,19,15
43110.9583333333,24,10
43111,31,-999
43111.0416666667,19,15
43111.0833333333,15,17
43111.125,15,18
43111.1666666667,11,23
43111.2083333333,13,22
43111.25,14,21
43111.2916666667,19,18
43111.3333333333,18,18
43111.375,19,19
43111.4166666667,15,23
43111.4583333333,13,25
43111.5,12,26
43111.5416666667,14,24
43111.5833333333,18,22
43111.625,24,18
43111.6666666667,21,20
43111.7083333333,16,23
43111.75,11,26
43111.7916666667,11,25
43111.8333333333,11,24
43111.875,9,-999
43111.9166666667,7,27
43111.9583333333,6,29
43112,6,28
43112.0416666667,6,27
43112.0833333333,6,26
43112.125,6,25
43112.1666666667,7,24
43112.2083333333,8,22
43112.25,13,18
43112.2916666667,19,12
43112.3333333333,18,8
43112.375,10,8
43112.4166666667,8,13
43112.4583333333,9,17
43112.5,8,20
43112.5416666667,9,22
43112.5833333333,9,24
43112.625,9,26
43112.6666666667,8,27
43112.7083333333,9,26
43112.75,7,30
43112.7916666667,7,32
43112.8333333333,7,32
43112.875,7,33
43112.9166666667,6,34
43112.9583333333,6,34
43113,5,34
43113.0416666667,4,35
43113.0833333333,3,35
43113.125,4,35
43113.1666666667,3,36
43113.2083333333,4,35
43113.25,5,34
43113.2916666667,5,32
43113.3333333333,6,31
43113.375,8,29
43113.4166666667,7,29
43113.4583333333,7,29
43113.5,7,29
43113.5416666667,6,30
43113.5833333333,6,31
43113.625,7,31
43113.6666666667,7,31
43113.7083333333,9,30
43113.75,10,29
43113.7916666667,11,28
43113.8333333333,13,25
43113.875,14,24
43113.9166666667,14,23
43113.9583333333,15,22
43114,17,21
43114.0416666667,29,8
43114.0833333333,32,6
43114.125,-999,-999
43114.1666666667,40,1
43114.2083333333,41,1
43114.25,41,1
43114.2916666667,39,1
43114.3333333333,34,5
43114.375,28,12
43114.4166666667,14,23
43114.4583333333,8,29
43114.5,8,29
43114.5416666667,10,29
43114.5833333333,13,26
43114.625,11,28
43114.6666666667,8,31
43114.7083333333,12,27
43114.75,14,25
43114.7916666667,7,32
43114.8333333333,6,33
43114.875,5,34
43114.9166666667,4,34
43114.9583333333,3,35
43115,3,35
43115.0416666667,2,36
43115.0833333333,2,36
43115.125,2,36
43115.1666666667,2,36
43115.2083333333,2,36
43115.25,2,37
43115.2916666667,4,36
43115.3333333333,10,28
43115.375,11,28
43115.4166666667,9,29
43115.4583333333,6,31
43115.5,11,27
43115.5416666667,11,27
43115.5833333333,9,30
43115.625,8,32
43115.6666666667,9,30
43115.7083333333,17,21
43115.75,17,21
43115.7916666667,17,21
43115.8333333333,19,19
43115.875,19,18
43115.9166666667,20,17
43115.9583333333,20,16
43116,23,14
43116.0416666667,21,14
43116.0833333333,21,14
43116.125,23,12
43116.1666666667,22,12
43116.2083333333,25,10
43116.25,29,6
43116.2916666667,36,2
43116.3333333333,37,3
43116.375,34,5
43116.4166666667,30,8
43116.4583333333,27,12
43116.5,26,13
43116.5416666667,21,16
43116.5833333333,18,20
43116.625,17,22
43116.6666666667,25,15
43116.7083333333,31,8
43116.75,34,4
43116.7916666667,26,10
43116.8333333333,34,4
43116.875,33,5
43116.9166666667,24,10
43116.9583333333,24,11
