"V1","NAPS","Population","PopSize","Latitude","Longitude"
83,"Prince Albert, SK, NAPS: 80402",35102,"medium",53.201694,-105.75203
84,"Estevan, SK, NAPS: 80502",11258,"small",49.13235,-102.98499
85,"Swift Current, SK, NAPS: 81001",16022,"small",50.285833,-107.81689
86,"Buffalo Narrows, SK, NAPS: 82002",1110,"small",55.834566,-108.403332
87,"Edmonton, AB, NAPS: 90120",1062643,"large",53.5001,-113.5261
88,"Edmonton, AB, NAPS: 90121",1062643,"large",53.54823,-113.36811
89,"Edmonton, AB, NAPS: 90130",1062643,"large",53.54445,-113.49884
90,"Edmonton, AB, NAPS: 90133",1062643,"large",53.564411,-113.562583
91,"Sherwood Park, AB, NAPS: 90134",70618,"medium",53.532092,-113.320983
92,"Ardrossan, AB, NAPS: 90135",412,"rural",53.554691,-113.144905
93,"St. Albert, AB, NAPS: 90136",65589,"medium",53.626908,-113.611883
94,"Calgary, AB, NAPS: 90222",1237656,"large",51.079222,-114.141828
95,"Calgary, AB, NAPS: 90229",1237656,"large",50.955122,-113.969742
96,"Calgary, AB, NAPS: 90230",1237656,"large",51.0309,-114.0091
97,"Calgary, AB, NAPS: 90235",1237656,"large",51.08272,-114.138994
98,"Airdrie, AB, NAPS: 90250",61082,"medium",51.26807778,-114.0377944
99,"Red Deer, AB, NAPS: 90302",99718,"medium",52.29867,-113.79352
100,"Red Deer, AB, NAPS: 90304",99718,"medium",52.24095,-113.765439
101,"Medicine Hat, AB, NAPS: 90402",62935,"medium",50.04893,-110.68116
102,"Lethbridge, AB, NAPS: 90502",87572,"medium",49.71621,-112.8006
103,"Fort Saskatchewan, AB, NAPS: 90601",23895,"small",53.69874,-113.22285
104,"Gibbons, AB, NAPS: 90607",2661,"small",53.827241,-113.327174
105,"Redwater, AB, NAPS: 90608",1591,"small",53.95183,-113.105857
106,"Bruderheim, AB, NAPS: 90609",1308,"small",53.805629,-112.925851
107,"Fort Mcmurray, AB, NAPS: 90701",66573,"medium",56.73341,-111.39047
108,"Fort Mcmurray, AB, NAPS: 90702",66573,"medium",56.75139,-111.47662
109,"Fort Mckay, AB, NAPS: 90801",742,"rural",57.18941,-111.6405
110,"Fort Mckay, AB, NAPS: 90805",742,"rural",56.99647,-111.59295
111,"Fort Mckay, AB, NAPS: 90806",742,"rural",57.1492,-111.6424
112,"Wapasu, AB, NAPS: 90807",0,"rural",57.26176,-111.037
113,"Conklin, AB, NAPS: 90808",185,"rural",55.621408,-111.17269
114,"Elk Island, AB, NAPS: 91101",0,"rural",53.68238,-112.86812
115,"Tomahawk, AB, NAPS: 91301",65,"rural",53.37255,-114.76835
116,"Violet Grove, AB, NAPS: 91401",141,"rural",53.14222,-115.13806
117,"Beaverlodge, AB, NAPS: 91501",2327,"small",55.19634,-119.39682
118,"Carrot Creek, AB, NAPS: 91601",15,"rural",53.621062,-115.869155
119,"Steeper, AB, NAPS: 91701",0,"rural",53.1325,-117.09111
120,"Fort Chipewyan, AB, NAPS: 91801",852,"rural",58.70879,-111.17683
121,"Caroline, AB, NAPS: 91901",512,"rural",51.94687,-114.69744
122,"Grande Prairie, AB, NAPS: 92001",62320,"medium",55.1766,-118.8078
