"","time","O3","NO2","Ox"
"1",2018-01-01,12,32,44
"2",2018-01-01,6,41,47
"3",2018-01-01,1,46,47
"4",2018-01-01,4,40,44
"5",2018-01-01,12,31,43
"6",2018-01-01,5,41,46
"7",2018-01-01,6,41,47
"8",2018-01-01,9,35,44
"9",2018-01-01,12,31,43
"10",2018-01-01,20,20,40
"11",2018-01-01,31,8,39
"12",2018-01-01,32,7,39
"13",2018-01-01,32,8,40
"14",2018-01-01,31,10,41
"15",2018-01-01,33,7,40
"16",2018-01-01,32,5,37
"17",2018-01-01,33,5,38
"18",2018-01-01,31,7,38
"19",2018-01-01,30,9,39
"20",2018-01-01,30,10,40
"21",2018-01-01,30,10,40
"22",2018-01-01,23,18,41
"23",2018-01-01,18,23,41
"24",2018-01-01,6,37,43
"25",2018-01-02,2,41,43
"26",2018-01-02,14,28,42
"27",2018-01-02,20,20,40
"28",2018-01-02,20,18,38
"29",2018-01-02,19,19,38
"30",2018-01-02,21,18,39
"31",2018-01-02,28,10,38
"32",2018-01-02,26,12,38
"33",2018-01-02,20,20,40
"34",2018-01-02,21,19,40
"35",2018-01-02,21,18,39
"36",2018-01-02,20,19,39
"37",2018-01-02,21,18,39
"38",2018-01-02,23,17,40
"39",2018-01-02,21,19,40
"40",2018-01-02,23,18,41
"41",2018-01-02,23,17,40
"42",2018-01-02,22,16,38
"43",2018-01-02,19,20,39
"44",2018-01-02,21,17,38
"45",2018-01-02,22,16,38
"46",2018-01-02,21,17,38
"47",2018-01-02,22,15,37
"48",2018-01-02,18,20,38
"49",2018-01-03,22,16,38
"50",2018-01-03,27,14,41
"51",2018-01-03,24,16,40
"52",2018-01-03,25,16,41
"53",2018-01-03,25,16,41
"54",2018-01-03,25,16,41
"55",2018-01-03,30,12,42
"56",2018-01-03,28,16,44
"57",2018-01-03,21,22,43
"58",2018-01-03,24,15,39
"59",2018-01-03,25,14,39
"60",2018-01-03,25,15,40
"61",2018-01-03,25,15,40
"62",2018-01-03,21,18,39
"63",2018-01-03,24,15,39
"64",2018-01-03,26,13,39
"65",2018-01-03,26,14,40
"66",2018-01-03,22,16,38
"67",2018-01-03,19,19,38
"68",2018-01-03,19,18,37
"69",2018-01-03,18,17,35
"70",2018-01-03,15,19,34
"71",2018-01-03,13,21,34
"72",2018-01-03,12,21,33
"73",2018-01-04,12,21,33
"74",2018-01-04,9,23,32
"75",2018-01-04,6,26,32
"76",2018-01-04,7,26,33
"77",2018-01-04,8,26,34
"78",2018-01-04,4,33,37
"79",2018-01-04,17,18,35
"80",2018-01-04,15,20,35
"81",2018-01-04,17,18,35
"82",2018-01-04,23,12,35
"83",2018-01-04,26,11,37
"84",2018-01-04,29,8,37
"85",2018-01-04,29,8,37
"86",2018-01-04,29,8,37
"87",2018-01-04,29,7,36
"88",2018-01-04,27,8,35
"89",2018-01-04,26,8,34
"90",2018-01-04,26,9,35
"91",2018-01-04,25,10,35
"92",2018-01-04,26,10,36
"93",2018-01-04,27,10,37
"94",2018-01-04,28,9,37
"95",2018-01-04,28,9,37
"96",2018-01-04,27,10,37
"97",2018-01-05,27,10,37
"98",2018-01-05,24,13,37
"99",2018-01-05,24,12,36
"100",2018-01-05,25,10,35
"101",2018-01-05,22,14,36
"102",2018-01-05,22,14,36
"103",2018-01-05,21,15,36
"104",2018-01-05,20,16,36
"105",2018-01-05,19,16,35
"106",2018-01-05,22,13,35
"107",2018-01-05,26,9,35
"108",2018-01-05,28,6,34
"109",2018-01-05,28,7,35
"110",2018-01-05,29,6,35
"111",2018-01-05,29,6,35
"112",2018-01-05,28,7,35
"113",2018-01-05,26,9,35
"114",2018-01-05,24,11,35
"115",2018-01-05,23,12,35
"116",2018-01-05,24,12,36
"117",2018-01-05,21,17,38
"118",2018-01-05,17,21,38
"119",2018-01-05,20,17,37
"120",2018-01-05,24,12,36
"121",2018-01-06,25,11,36
"122",2018-01-06,22,14,36
"123",2018-01-06,23,12,35
"124",2018-01-06,24,10,34
"125",2018-01-06,24,11,35
"126",2018-01-06,22,13,35
"127",2018-01-06,21,14,35
"128",2018-01-06,22,14,36
"129",2018-01-06,17,19,36
"130",2018-01-06,22,14,36
"131",2018-01-06,27,8,35
"132",2018-01-06,29,6,35
"133",2018-01-06,30,5,35
"134",2018-01-06,30,5,35
"135",2018-01-06,31,5,36
"136",2018-01-06,29,7,36
"137",2018-01-06,29,8,37
"138",2018-01-06,23,16,39
"139",2018-01-06,16,24,40
"140",2018-01-06,16,25,41
"141",2018-01-06,25,14,39
"142",2018-01-06,21,19,40
"143",2018-01-06,17,24,41
"144",2018-01-06,11,32,43
"145",2018-01-07,7,37,44
"146",2018-01-07,7,38,45
"147",2018-01-07,3,42,45
"148",2018-01-07,NA,NA,NA
"149",2018-01-07,2,41,43
"150",2018-01-07,4,41,45
"151",2018-01-07,19,20,39
"152",2018-01-07,18,22,40
"153",2018-01-07,23,16,39
"154",2018-01-07,26,11,37
"155",2018-01-07,27,11,38
"156",2018-01-07,30,9,39
"157",2018-01-07,31,8,39
"158",2018-01-07,32,7,39
"159",2018-01-07,33,7,40
"160",2018-01-07,30,10,40
"161",2018-01-07,30,10,40
"162",2018-01-07,29,12,41
"163",2018-01-07,28,12,40
"164",2018-01-07,25,15,40
"165",2018-01-07,27,13,40
"166",2018-01-07,25,15,40
"167",2018-01-07,26,14,40
"168",2018-01-07,25,15,40
"169",2018-01-08,23,17,40
"170",2018-01-08,28,10,38
"171",2018-01-08,27,10,37
"172",2018-01-08,27,9,36
"173",2018-01-08,27,9,36
"174",2018-01-08,27,9,36
"175",2018-01-08,26,9,35
"176",2018-01-08,24,11,35
"177",2018-01-08,24,11,35
"178",2018-01-08,22,13,35
"179",2018-01-08,18,19,37
"180",2018-01-08,19,17,36
"181",2018-01-08,21,14,35
"182",2018-01-08,14,21,35
"183",2018-01-08,15,17,32
"184",2018-01-08,13,20,33
"185",2018-01-08,17,16,33
"186",2018-01-08,14,20,34
"187",2018-01-08,13,22,35
"188",2018-01-08,22,13,35
"189",2018-01-08,23,13,36
"190",2018-01-08,25,11,36
"191",2018-01-08,26,10,36
"192",2018-01-08,25,10,35
"193",2018-01-09,24,12,36
"194",2018-01-09,24,14,38
"195",2018-01-09,21,16,37
"196",2018-01-09,25,11,36
"197",2018-01-09,25,9,34
"198",2018-01-09,24,9,33
"199",2018-01-09,20,12,32
"200",2018-01-09,15,19,34
"201",2018-01-09,14,21,35
"202",2018-01-09,17,17,34
"203",2018-01-09,19,14,33
"204",2018-01-09,19,14,33
"205",2018-01-09,17,16,33
"206",2018-01-09,16,16,32
"207",2018-01-09,18,14,32
"208",2018-01-09,16,16,32
"209",2018-01-09,16,17,33
"210",2018-01-09,15,17,32
"211",2018-01-09,16,16,32
"212",2018-01-09,20,11,31
"213",2018-01-09,16,15,31
"214",2018-01-09,20,11,31
"215",2018-01-09,20,12,32
"216",2018-01-09,23,8,31
"217",2018-01-10,22,9,31
"218",2018-01-10,22,10,32
"219",2018-01-10,25,8,33
"220",2018-01-10,26,7,33
"221",2018-01-10,24,9,33
"222",2018-01-10,20,15,35
"223",2018-01-10,17,20,37
"224",2018-01-10,11,27,38
"225",2018-01-10,14,26,40
"226",2018-01-10,17,21,38
"227",2018-01-10,17,22,39
"228",2018-01-10,17,22,39
"229",2018-01-10,21,19,40
"230",2018-01-10,20,19,39
"231",2018-01-10,17,22,39
"232",2018-01-10,15,26,41
"233",2018-01-10,16,24,40
"234",2018-01-10,17,22,39
"235",2018-01-10,16,24,40
"236",2018-01-10,11,29,40
"237",2018-01-10,12,26,38
"238",2018-01-10,17,19,36
"239",2018-01-10,17,18,35
"240",2018-01-10,7,31,38
"241",2018-01-11,17,17,34
"242",2018-01-11,24,10,34
"243",2018-01-11,27,7,34
"244",2018-01-11,28,6,34
"245",2018-01-11,27,6,33
"246",2018-01-11,26,8,34
"247",2018-01-11,23,10,33
"248",2018-01-11,22,12,34
"249",2018-01-11,19,17,36
"250",2018-01-11,21,15,36
"251",2018-01-11,24,13,37
"252",2018-01-11,24,13,37
"253",2018-01-11,26,11,37
"254",2018-01-11,26,11,37
"255",2018-01-11,26,13,39
"256",2018-01-11,26,14,40
"257",2018-01-11,27,12,39
"258",2018-01-11,27,10,37
"259",2018-01-11,27,9,36
"260",2018-01-11,22,14,36
"261",2018-01-11,25,10,35
"262",2018-01-11,26,8,34
"263",2018-01-11,27,6,33
"264",2018-01-11,28,5,33
"265",2018-01-12,29,5,34
"266",2018-01-12,28,5,33
"267",2018-01-12,27,4,31
"268",2018-01-12,28,3,31
"269",2018-01-12,26,4,30
"270",2018-01-12,25,5,30
"271",2018-01-12,21,8,29
"272",2018-01-12,11,17,28
"273",2018-01-12,6,20,26
"274",2018-01-12,10,10,20
"275",2018-01-12,13,8,21
"276",2018-01-12,17,8,25
"277",2018-01-12,20,9,29
"278",2018-01-12,21,9,30
"279",2018-01-12,25,6,31
"280",2018-01-12,27,7,34
"281",2018-01-12,28,8,36
"282",2018-01-12,28,7,35
"283",2018-01-12,29,8,37
"284",2018-01-12,31,7,38
"285",2018-01-12,30,10,40
"286",2018-01-12,30,11,41
"287",2018-01-12,32,9,41
"288",2018-01-12,31,9,40
"289",2018-01-13,32,8,40
"290",2018-01-13,32,8,40
"291",2018-01-13,33,6,39
"292",2018-01-13,33,6,39
"293",2018-01-13,33,6,39
"294",2018-01-13,33,6,39
"295",2018-01-13,32,7,39
"296",2018-01-13,30,8,38
"297",2018-01-13,29,8,37
"298",2018-01-13,30,7,37
"299",2018-01-13,31,6,37
"300",2018-01-13,32,6,38
"301",2018-01-13,32,5,37
"302",2018-01-13,32,5,37
"303",2018-01-13,34,4,38
"304",2018-01-13,33,5,38
"305",2018-01-13,33,6,39
"306",2018-01-13,31,8,39
"307",2018-01-13,30,8,38
"308",2018-01-13,29,10,39
"309",2018-01-13,29,10,39
"310",2018-01-13,27,12,39
"311",2018-01-13,24,15,39
"312",2018-01-13,25,13,38
"313",2018-01-14,22,17,39
"314",2018-01-14,19,21,40
"315",2018-01-14,11,29,40
"316",2018-01-14,NA,NA,NA
"317",2018-01-14,5,36,41
"318",2018-01-14,11,28,39
"319",2018-01-14,14,25,39
"320",2018-01-14,7,36,43
"321",2018-01-14,2,47,49
"322",2018-01-14,5,42,47
"323",2018-01-14,23,17,40
"324",2018-01-14,30,7,37
"325",2018-01-14,27,12,39
"326",2018-01-14,29,9,38
"327",2018-01-14,33,5,38
"328",2018-01-14,33,5,38
"329",2018-01-14,30,9,39
"330",2018-01-14,30,9,39
"331",2018-01-14,32,7,39
"332",2018-01-14,29,11,40
"333",2018-01-14,28,13,41
"334",2018-01-14,25,15,40
"335",2018-01-14,27,13,40
"336",2018-01-14,29,10,39
"337",2018-01-15,30,9,39
"338",2018-01-15,30,10,40
"339",2018-01-15,30,10,40
"340",2018-01-15,30,9,39
"341",2018-01-15,31,9,40
"342",2018-01-15,31,11,42
"343",2018-01-15,30,11,41
"344",2018-01-15,27,14,41
"345",2018-01-15,27,14,41
"346",2018-01-15,28,13,41
"347",2018-01-15,28,14,42
"348",2018-01-15,28,13,41
"349",2018-01-15,27,14,41
"350",2018-01-15,25,16,41
"351",2018-01-15,24,17,41
"352",2018-01-15,26,15,41
"353",2018-01-15,25,16,41
"354",2018-01-15,24,17,41
"355",2018-01-15,24,17,41
"356",2018-01-15,24,16,40
"357",2018-01-15,13,27,40
"358",2018-01-15,9,31,40
"359",2018-01-15,8,31,39
"360",2018-01-15,10,28,38
"361",2018-01-16,10,26,36
"362",2018-01-16,11,25,36
"363",2018-01-16,9,27,36
"364",2018-01-16,8,28,36
"365",2018-01-16,7,28,35
"366",2018-01-16,6,30,36
"367",2018-01-16,2,35,37
"368",2018-01-16,1,38,39
"369",2018-01-16,3,36,39
"370",2018-01-16,10,25,35
"371",2018-01-16,10,25,35
"372",2018-01-16,13,24,37
"373",2018-01-16,15,19,34
"374",2018-01-16,21,14,35
"375",2018-01-16,25,12,37
"376",2018-01-16,23,14,37
"377",2018-01-16,21,14,35
"378",2018-01-16,20,15,35
"379",2018-01-16,18,17,35
"380",2018-01-16,10,25,35
"381",2018-01-16,11,24,35
"382",2018-01-16,14,19,33
"383",2018-01-16,16,14,30
"384",2018-01-16,19,12,31
"385",2018-01-17,16,13,29
"386",2018-01-17,14,15,29
"387",2018-01-17,7,22,29
"388",2018-01-17,7,22,29
"389",2018-01-17,5,23,28
"390",2018-01-17,3,27,30
"391",2018-01-17,1,31,32
"392",2018-01-17,2,28,30
"393",2018-01-17,3,27,30
"394",2018-01-17,5,28,33
"395",2018-01-17,15,21,36
"396",2018-01-17,25,13,38
"397",2018-01-17,30,10,40
"398",2018-01-17,28,12,40
"399",2018-01-17,26,15,41
"400",2018-01-17,26,14,40
"401",2018-01-17,25,14,39
"402",2018-01-17,23,16,39
"403",2018-01-17,21,17,38
"404",2018-01-17,22,15,37
"405",2018-01-17,22,14,36
"406",2018-01-17,23,13,36
"407",2018-01-17,22,13,35
"408",2018-01-17,21,14,35
"409",2018-01-18,19,16,35
"410",2018-01-18,21,14,35
"411",2018-01-18,21,14,35
"412",2018-01-18,22,13,35
"413",2018-01-18,20,15,35
"414",2018-01-18,17,18,35
"415",2018-01-18,17,18,35
"416",2018-01-18,15,20,35
"417",2018-01-18,13,21,34
"418",2018-01-18,15,18,33
"419",2018-01-18,16,18,34
"420",2018-01-18,16,17,33
"421",2018-01-18,18,15,33
"422",2018-01-18,16,18,34
"423",2018-01-18,18,16,34
"424",2018-01-18,19,16,35
"425",2018-01-18,17,17,34
"426",2018-01-18,19,15,34
"427",2018-01-18,19,15,34
"428",2018-01-18,21,14,35
"429",2018-01-18,20,17,37
"430",2018-01-18,20,17,37
"431",2018-01-18,21,15,36
"432",2018-01-18,22,15,37
"433",2018-01-19,20,16,36
"434",2018-01-19,16,21,37
"435",2018-01-19,16,20,36
"436",2018-01-19,16,19,35
"437",2018-01-19,14,22,36
"438",2018-01-19,15,20,35
"439",2018-01-19,14,20,34
"440",2018-01-19,11,23,34
"441",2018-01-19,13,21,34
"442",2018-01-19,15,20,35
"443",2018-01-19,18,19,37
"444",2018-01-19,23,15,38
"445",2018-01-19,25,14,39
"446",2018-01-19,29,11,40
"447",2018-01-19,30,11,41
"448",2018-01-19,30,12,42
"449",2018-01-19,26,16,42
"450",2018-01-19,25,17,42
"451",2018-01-19,28,14,42
"452",2018-01-19,29,15,44
"453",2018-01-19,31,13,44
"454",2018-01-19,31,13,44
"455",2018-01-19,31,13,44
"456",2018-01-19,30,13,43
"457",2018-01-20,30,13,43
"458",2018-01-20,33,9,42
"459",2018-01-20,31,10,41
"460",2018-01-20,30,10,40
"461",2018-01-20,29,9,38
"462",2018-01-20,26,11,37
"463",2018-01-20,22,15,37
"464",2018-01-20,20,18,38
"465",2018-01-20,20,17,37
"466",2018-01-20,21,15,36
"467",2018-01-20,19,18,37
"468",2018-01-20,23,14,37
"469",2018-01-20,25,13,38
"470",2018-01-20,21,18,39
"471",2018-01-20,22,18,40
"472",2018-01-20,25,15,40
"473",2018-01-20,20,21,41
"474",2018-01-20,18,22,40
"475",2018-01-20,16,24,40
"476",2018-01-20,17,22,39
"477",2018-01-20,18,19,37
"478",2018-01-20,18,17,35
"479",2018-01-20,14,20,34
"480",2018-01-20,6,29,35
"481",2018-01-21,7,27,34
"482",2018-01-21,6,29,35
"483",2018-01-21,9,23,32
"484",2018-01-21,NA,NA,NA
"485",2018-01-21,4,27,31
"486",2018-01-21,4,25,29
"487",2018-01-21,2,28,30
"488",2018-01-21,1,30,31
"489",2018-01-21,4,25,29
"490",2018-01-21,8,21,29
"491",2018-01-21,12,20,32
"492",2018-01-21,14,18,32
"493",2018-01-21,13,19,32
"494",2018-01-21,15,20,35
"495",2018-01-21,20,15,35
"496",2018-01-21,9,27,36
"497",2018-01-21,12,24,36
"498",2018-01-21,16,19,35
"499",2018-01-21,17,17,34
"500",2018-01-21,17,16,33
"501",2018-01-21,18,16,34
"502",2018-01-21,19,16,35
"503",2018-01-21,18,17,35
"504",2018-01-21,20,14,34
"505",2018-01-22,22,13,35
"506",2018-01-22,18,16,34
"507",2018-01-22,19,16,35
"508",2018-01-22,22,12,34
"509",2018-01-22,24,11,35
"510",2018-01-22,24,11,35
"511",2018-01-22,22,12,34
"512",2018-01-22,19,14,33
"513",2018-01-22,18,13,31
"514",2018-01-22,18,11,29
"515",2018-01-22,19,10,29
"516",2018-01-22,20,10,30
"517",2018-01-22,20,10,30
"518",2018-01-22,21,9,30
"519",2018-01-22,21,10,31
"520",2018-01-22,21,10,31
"521",2018-01-22,23,10,33
"522",2018-01-22,23,10,33
"523",2018-01-22,23,10,33
"524",2018-01-22,23,10,33
"525",2018-01-22,22,10,32
"526",2018-01-22,22,11,33
"527",2018-01-22,21,12,33
"528",2018-01-22,21,11,32
"529",2018-01-23,20,12,32
"530",2018-01-23,18,13,31
"531",2018-01-23,18,11,29
"532",2018-01-23,17,12,29
"533",2018-01-23,10,19,29
"534",2018-01-23,2,28,30
"535",2018-01-23,2,30,32
"536",2018-01-23,4,27,31
"537",2018-01-23,12,21,33
"538",2018-01-23,22,17,39
"539",2018-01-23,20,19,39
"540",2018-01-23,23,11,34
"541",2018-01-23,21,9,30
"542",2018-01-23,17,10,27
"543",2018-01-23,15,10,25
"544",2018-01-23,14,10,24
"545",2018-01-23,13,11,24
"546",2018-01-23,10,13,23
"547",2018-01-23,16,11,27
"548",2018-01-23,27,6,33
"549",2018-01-23,28,6,34
"550",2018-01-23,30,5,35
"551",2018-01-23,29,5,34
"552",2018-01-23,31,4,35
"553",2018-01-24,30,5,35
"554",2018-01-24,32,4,36
"555",2018-01-24,31,4,35
"556",2018-01-24,30,5,35
"557",2018-01-24,31,4,35
"558",2018-01-24,30,6,36
"559",2018-01-24,29,8,37
"560",2018-01-24,29,10,39
"561",2018-01-24,29,9,38
"562",2018-01-24,27,12,39
"563",2018-01-24,26,13,39
"564",2018-01-24,29,10,39
"565",2018-01-24,30,10,40
"566",2018-01-24,30,9,39
"567",2018-01-24,28,11,39
"568",2018-01-24,27,13,40
"569",2018-01-24,29,11,40
"570",2018-01-24,25,14,39
"571",2018-01-24,26,14,40
"572",2018-01-24,29,11,40
"573",2018-01-24,29,12,41
"574",2018-01-24,28,12,40
"575",2018-01-24,27,14,41
"576",2018-01-24,27,15,42
"577",2018-01-25,27,14,41
"578",2018-01-25,29,13,42
"579",2018-01-25,27,13,40
"580",2018-01-25,27,13,40
"581",2018-01-25,27,13,40
"582",2018-01-25,22,19,41
"583",2018-01-25,20,21,41
"584",2018-01-25,16,25,41
"585",2018-01-25,6,38,44
"586",2018-01-25,8,35,43
"587",2018-01-25,18,25,43
"588",2018-01-25,25,17,42
"589",2018-01-25,26,15,41
"590",2018-01-25,27,14,41
"591",2018-01-25,29,12,41
"592",2018-01-25,27,13,40
"593",2018-01-25,27,12,39
"594",2018-01-25,20,18,38
"595",2018-01-25,13,25,38
"596",2018-01-25,18,19,37
"597",2018-01-25,18,17,35
"598",2018-01-25,19,16,35
"599",2018-01-25,21,13,34
"600",2018-01-25,22,13,35
"601",2018-01-26,23,11,34
"602",2018-01-26,23,12,35
"603",2018-01-26,21,14,35
"604",2018-01-26,28,8,36
"605",2018-01-26,23,14,37
"606",2018-01-26,22,14,36
"607",2018-01-26,22,15,37
"608",2018-01-26,17,21,38
"609",2018-01-26,16,23,39
"610",2018-01-26,20,16,36
"611",2018-01-26,23,12,35
"612",2018-01-26,23,11,34
"613",2018-01-26,23,11,34
"614",2018-01-26,20,15,35
"615",2018-01-26,21,15,36
"616",2018-01-26,22,14,36
"617",2018-01-26,22,13,35
"618",2018-01-26,15,21,36
"619",2018-01-26,10,28,38
"620",2018-01-26,8,30,38
"621",2018-01-26,5,36,41
"622",2018-01-26,13,28,41
"623",2018-01-26,23,15,38
"624",2018-01-26,25,12,37
"625",2018-01-27,27,11,38
"626",2018-01-27,29,9,38
"627",2018-01-27,29,9,38
"628",2018-01-27,31,7,38
"629",2018-01-27,31,7,38
"630",2018-01-27,33,6,39
"631",2018-01-27,31,7,38
"632",2018-01-27,29,8,37
"633",2018-01-27,30,8,38
"634",2018-01-27,30,9,39
"635",2018-01-27,30,9,39
"636",2018-01-27,31,9,40
"637",2018-01-27,30,10,40
"638",2018-01-27,31,8,39
"639",2018-01-27,28,10,38
"640",2018-01-27,26,10,36
"641",2018-01-27,23,12,35
"642",2018-01-27,21,14,35
"643",2018-01-27,20,13,33
"644",2018-01-27,20,12,32
"645",2018-01-27,21,9,30
"646",2018-01-27,15,16,31
"647",2018-01-27,24,8,32
"648",2018-01-27,21,12,33
"649",2018-01-28,15,17,32
"650",2018-01-28,18,14,32
"651",2018-01-28,18,14,32
"652",2018-01-28,NA,NA,NA
"653",2018-01-28,15,18,33
"654",2018-01-28,16,16,32
"655",2018-01-28,17,15,32
"656",2018-01-28,13,21,34
"657",2018-01-28,15,18,33
"658",2018-01-28,17,15,32
"659",2018-01-28,20,13,33
"660",2018-01-28,18,16,34
"661",2018-01-28,19,13,32
"662",2018-01-28,19,13,32
"663",2018-01-28,24,9,33
"664",2018-01-28,24,6,30
"665",2018-01-28,22,7,29
"666",2018-01-28,19,10,29
"667",2018-01-28,15,15,30
"668",2018-01-28,17,14,31
"669",2018-01-28,17,14,31
"670",2018-01-28,15,15,30
"671",2018-01-28,15,16,31
"672",2018-01-28,17,14,31
"673",2018-01-29,14,18,32
"674",2018-01-29,16,16,32
"675",2018-01-29,15,16,31
"676",2018-01-29,13,17,30
"677",2018-01-29,14,15,29
"678",2018-01-29,17,12,29
"679",2018-01-29,16,14,30
"680",2018-01-29,12,20,32
"681",2018-01-29,11,23,34
"682",2018-01-29,11,23,34
"683",2018-01-29,18,16,34
"684",2018-01-29,23,10,33
"685",2018-01-29,23,10,33
"686",2018-01-29,22,12,34
"687",2018-01-29,19,15,34
"688",2018-01-29,14,19,33
"689",2018-01-29,15,18,33
"690",2018-01-29,17,16,33
"691",2018-01-29,17,15,32
"692",2018-01-29,19,14,33
"693",2018-01-29,15,18,33
"694",2018-01-29,18,14,32
"695",2018-01-29,20,13,33
"696",2018-01-29,20,14,34
"697",2018-01-30,21,13,34
"698",2018-01-30,23,11,34
"699",2018-01-30,24,10,34
"700",2018-01-30,23,9,32
"701",2018-01-30,24,8,32
"702",2018-01-30,25,8,33
"703",2018-01-30,25,10,35
"704",2018-01-30,22,14,36
"705",2018-01-30,23,13,36
"706",2018-01-30,26,10,36
"707",2018-01-30,28,8,36
"708",2018-01-30,29,8,37
"709",2018-01-30,30,7,37
"710",2018-01-30,32,6,38
"711",2018-01-30,32,6,38
"712",2018-01-30,32,6,38
"713",2018-01-30,31,7,38
"714",2018-01-30,28,11,39
"715",2018-01-30,28,11,39
"716",2018-01-30,24,14,38
"717",2018-01-30,20,18,38
"718",2018-01-30,19,19,38
"719",2018-01-30,16,23,39
"720",2018-01-30,17,21,38
"721",2018-01-31,9,31,40
"722",2018-01-31,7,36,43
"723",2018-01-31,12,27,39
"724",2018-01-31,6,34,40
"725",2018-01-31,5,36,41
"726",2018-01-31,15,25,40
"727",2018-01-31,30,8,38
"728",2018-01-31,27,11,38
"729",2018-01-31,30,9,39
"730",2018-01-31,29,9,38
"731",2018-01-31,28,11,39
"732",2018-01-31,23,16,39
"733",2018-01-31,24,16,40
"734",2018-01-31,26,14,40
"735",2018-01-31,30,10,40
"736",2018-01-31,30,10,40
"737",2018-01-31,27,13,40
"738",2018-01-31,26,13,39
"739",2018-01-31,23,16,39
"740",2018-01-31,20,17,37
"741",2018-01-31,21,14,35
"742",2018-01-31,20,14,34
"743",2018-01-31,17,16,33
"744",2018-01-31,17,15,32
"745",2018-02-01,16,16,32
"746",2018-02-01,17,13,30
"747",2018-02-01,15,15,30
"748",2018-02-01,15,14,29
"749",2018-02-01,13,15,28
"750",2018-02-01,14,12,26
"751",2018-02-01,14,11,25
"752",2018-02-01,6,20,26
"753",2018-02-01,6,21,27
"754",2018-02-01,11,16,27
"755",2018-02-01,15,13,28
"756",2018-02-01,18,12,30
"757",2018-02-01,24,9,33
"758",2018-02-01,24,8,32
"759",2018-02-01,24,8,32
"760",2018-02-01,21,13,34
"761",2018-02-01,25,9,34
"762",2018-02-01,26,9,35
"763",2018-02-01,28,8,36
"764",2018-02-01,28,7,35
"765",2018-02-01,28,8,36
"766",2018-02-01,26,9,35
"767",2018-02-01,25,10,35
"768",2018-02-01,27,8,35
"769",2018-02-02,25,10,35
"770",2018-02-02,23,13,36
"771",2018-02-02,24,11,35
"772",2018-02-02,24,11,35
"773",2018-02-02,27,7,34
"774",2018-02-02,26,7,33
"775",2018-02-02,23,10,33
"776",2018-02-02,22,12,34
"777",2018-02-02,23,12,35
"778",2018-02-02,27,9,36
"779",2018-02-02,27,10,37
"780",2018-02-02,28,8,36
"781",2018-02-02,30,6,36
"782",2018-02-02,32,6,38
"783",2018-02-02,33,6,39
"784",2018-02-02,35,5,40
"785",2018-02-02,34,6,40
"786",2018-02-02,31,10,41
"787",2018-02-02,30,10,40
"788",2018-02-02,24,17,41
"789",2018-02-02,26,13,39
"790",2018-02-02,26,12,38
"791",2018-02-02,26,12,38
"792",2018-02-02,25,13,38
"793",2018-02-03,22,15,37
"794",2018-02-03,24,14,38
"795",2018-02-03,25,13,38
"796",2018-02-03,32,6,38
"797",2018-02-03,30,9,39
"798",2018-02-03,30,8,38
"799",2018-02-03,28,9,37
"800",2018-02-03,24,12,36
"801",2018-02-03,22,12,34
"802",2018-02-03,20,14,34
"803",2018-02-03,23,11,34
"804",2018-02-03,26,8,34
"805",2018-02-03,26,9,35
"806",2018-02-03,26,9,35
"807",2018-02-03,26,8,34
"808",2018-02-03,24,9,33
"809",2018-02-03,24,9,33
"810",2018-02-03,27,9,36
"811",2018-02-03,28,8,36
"812",2018-02-03,28,8,36
"813",2018-02-03,27,8,35
"814",2018-02-03,28,7,35
"815",2018-02-03,28,6,34
"816",2018-02-03,26,8,34
"817",2018-02-04,27,7,34
"818",2018-02-04,19,16,35
"819",2018-02-04,16,20,36
"820",2018-02-04,NA,NA,NA
"821",2018-02-04,24,10,34
"822",2018-02-04,21,14,35
"823",2018-02-04,16,18,34
"824",2018-02-04,15,19,34
"825",2018-02-04,17,16,33
"826",2018-02-04,16,17,33
"827",2018-02-04,20,14,34
"828",2018-02-04,25,10,35
"829",2018-02-04,26,9,35
"830",2018-02-04,27,8,35
"831",2018-02-04,26,9,35
"832",2018-02-04,24,11,35
"833",2018-02-04,20,15,35
"834",2018-02-04,17,18,35
"835",2018-02-04,20,13,33
"836",2018-02-04,26,9,35
"837",2018-02-04,29,8,37
"838",2018-02-04,31,7,38
"839",2018-02-04,32,7,39
"840",2018-02-04,33,6,39
"841",2018-02-05,32,6,38
"842",2018-02-05,33,6,39
"843",2018-02-05,31,8,39
"844",2018-02-05,28,10,38
"845",2018-02-05,30,10,40
"846",2018-02-05,31,9,40
"847",2018-02-05,22,19,41
"848",2018-02-05,20,22,42
"849",2018-02-05,19,23,42
"850",2018-02-05,18,25,43
"851",2018-02-05,23,19,42
"852",2018-02-05,28,14,42
"853",2018-02-05,31,12,43
"854",2018-02-05,35,8,43
"855",2018-02-05,33,10,43
"856",2018-02-05,35,9,44
"857",2018-02-05,32,13,45
"858",2018-02-05,29,16,45
"859",2018-02-05,29,14,43
"860",2018-02-05,30,12,42
"861",2018-02-05,33,10,43
"862",2018-02-05,28,15,43
"863",2018-02-05,29,16,45
"864",2018-02-05,28,16,44
"865",2018-02-06,28,15,43
"866",2018-02-06,26,16,42
"867",2018-02-06,29,12,41
"868",2018-02-06,27,13,40
"869",2018-02-06,24,16,40
"870",2018-02-06,21,19,40
"871",2018-02-06,20,19,39
"872",2018-02-06,17,22,39
"873",2018-02-06,17,22,39
